id,cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
217,Quixadá,32.64,33.43,nublado,41,32.64,32.64,3.31,2025-05-22 15:15:08
218,Quixelô,30.8,31.41,nublado,45,30.8,30.8,0.85,2025-05-22 15:15:09
219,Quixeramobim,30.09,31.18,nublado,50,30.09,30.09,3.12,2025-05-22 15:15:09
220,Quixeré,34.54,35.58,algumas nuvens,37,34.54,34.54,3.2,2025-05-22 15:15:09
221,Redenção,28.82,32.34,nublado,70,28.82,28.82,2.43,2025-05-22 15:15:10
222,Reriutaba,28.21,30.66,nublado,67,28.21,28.21,1.79,2025-05-22 15:15:10
223,Russas,33.9,35.01,algumas nuvens,39,33.9,33.9,2.93,2025-05-22 15:15:11
224,Saboeiro,32.15,31.66,nublado,35,32.15,32.15,4.95,2025-05-22 15:15:11
225,Salitre,13.38,12.21,nublado,55,13.38,13.38,3.25,2025-05-22 15:15:11
226,Santana do Acaraú,28.28,32.64,nublado,79,28.28,28.28,2.02,2025-05-22 15:11:26
227,Santana do Cariri,26.65,26.65,nublado,61,26.65,26.65,2.63,2025-05-22 15:15:12
228,Santa Quitéria,30.74,31.83,nublado,48,30.74,30.74,3.38,2025-05-22 15:15:12
229,São Benedito,26.03,26.03,nuvens dispersas,59,26.03,26.03,2.6,2025-05-22 15:15:13
230,São Gonçalo do Amarante,28.96,32.1,nuvens dispersas,67,28.96,28.96,3.95,2025-05-22 15:15:13
231,São João do Jaguaribe,34.12,34.66,nuvens dispersas,36,34.12,34.12,3.44,2025-05-22 15:11:28
232,São Luís do Curu,29.73,33.94,nublado,68,29.73,29.73,3.65,2025-05-22 15:11:29
233,Senador Pompeu,29.56,31.84,nublado,59,29.56,29.56,0.16,2025-05-22 15:15:14
234,Senador Sá,29.62,33.28,nublado,66,29.62,29.62,2.18,2025-05-22 15:11:29
235,Sobral,30.94,34.48,nublado,59,30.94,30.94,2.51,2025-05-22 15:10:24
236,Solonópole,32.53,33.06,nublado,40,32.53,32.53,0.53,2025-05-22 15:15:15
237,Tabuleiro do Norte,34.5,35.27,algumas nuvens,36,34.5,34.5,3.25,2025-05-22 15:15:15
238,Tamboril,31.11,35.6,nuvens dispersas,62,31.11,31.43,3.58,2025-05-22 15:15:16
239,Tarrafas,28.47,28.33,nublado,43,28.47,28.47,4.09,2025-05-22 15:15:16
240,Tauá,29.77,30.29,nublado,47,29.77,29.77,6.25,2025-05-22 15:11:31
241,Tejuçuoca,30.13,33.29,nublado,61,30.13,30.13,3.04,2025-05-22 15:11:32
242,Tianguá,26.3,26.3,nuvens dispersas,60,26.3,26.3,2.61,2025-05-22 15:15:17
243,Trairi,28.01,31.82,nuvens dispersas,78,28.01,28.01,5.24,2025-05-22 15:11:41
244,Tururu,29.52,33.48,nublado,68,29.52,29.52,2.98,2025-05-22 15:15:18
245,Ubajara,26.43,26.43,nuvens dispersas,58,26.43,26.43,2.88,2025-05-22 15:11:33
246,Umari,30.75,30.73,nublado,41,30.75,30.75,3.35,2025-05-22 15:11:33
247,Umirim,29.6,33.87,nublado,69,29.6,29.6,3.44,2025-05-22 15:15:19
248,Uruburetama,28.36,30.66,nublado,65,28.36,28.36,2.89,2025-05-22 15:15:19
249,Uruoca,29.74,33.12,nublado,64,29.74,29.74,2.22,2025-05-22 15:15:19
250,Varjota,28.51,31.07,nublado,66,28.51,28.51,1.62,2025-05-22 15:11:35
251,Várzea Alegre,30.95,31.8,nublado,46,30.95,30.95,4.6,2025-05-22 15:15:20
252,Viçosa do Ceará,26.17,26.17,nuvens dispersas,58,26.17,26.17,2.69,2025-05-22 15:11:35
