cidade,temperatura_atual,sensacao_termica,descricao,umidade,temperatura_min,temperatura_max,velocidade_vento,data_medicao
Icapuí,26.61,26.61,algumas nuvens,65,26.61,26.61,10.53,2025-08-18 19:54:40
Icó,25.68,25.03,céu limpo,28,25.68,25.68,1.8,2025-08-18 19:54:41
Iguatu,25.34,24.63,céu limpo,27,25.34,25.34,2.16,2025-08-18 19:54:41
Independência,25.77,25.13,céu limpo,28,25.77,25.77,2.51,2025-08-18 19:54:41
Ipaporanga,25.89,25.29,céu limpo,29,25.89,25.89,1.65,2025-08-18 19:54:42
Ipaumirim,25.11,24.51,céu limpo,32,25.11,25.11,2.77,2025-08-18 19:54:42
Ipu,22.97,22.21,céu limpo,34,22.97,22.97,1.47,2025-08-18 19:54:43
Ipueiras,23.84,23.19,céu limpo,35,23.84,23.84,4.27,2025-08-18 19:54:43
Iracema,26.02,26.02,céu limpo,32,26.02,26.02,2.17,2025-08-18 19:54:44
Irauçuba,24.31,24.21,céu limpo,54,24.31,24.31,2.89,2025-08-18 19:54:44
Itaiçaba,26.34,26.34,céu limpo,64,26.34,26.34,5.84,2025-08-18 19:54:45
Itaitinga,25.71,26.53,céu limpo,84,25.71,25.71,1.86,2025-08-18 19:54:45
Itapajé,19.72,19.71,céu limpo,75,19.72,19.72,1.94,2025-08-18 19:54:45
Itapipoca,22.15,22.38,céu limpo,75,22.15,22.15,2.84,2025-08-18 19:54:46
Itapiúna,22.81,23.05,céu limpo,73,22.81,22.81,3.86,2025-08-18 19:54:46
Itarema,25.32,25.84,céu limpo,74,25.32,25.32,7.44,2025-08-18 19:54:47
Jaguaretama,28.47,27.19,céu limpo,24,28.47,28.47,2.79,2025-08-18 19:54:48
Jaguaribara,28.56,27.26,céu limpo,24,28.56,28.56,3.57,2025-08-18 19:54:48
Jaguaribe,26.97,26.25,céu limpo,26,26.97,26.97,2.4,2025-08-18 19:54:49
Jaguaruana,25.37,25.74,céu limpo,68,25.37,25.37,3.91,2025-08-18 19:52:03
Jardim,27.35,26.53,céu limpo,27,27.35,27.35,2.58,2025-08-18 19:54:49
Jati,30.71,36.55,nuvens dispersas,69,30.71,30.71,4.65,2025-08-18 19:54:50
Jijoca de Jericoacoara,24.81,25.23,céu limpo,72,24.81,24.81,7.11,2025-08-18 19:54:50
Juazeiro do Norte,26.98,26.66,algumas nuvens,36,26.98,26.98,3.6,2025-08-18 19:49:52
Jucás,24.97,24.28,céu limpo,29,24.97,24.97,2.25,2025-08-18 19:54:51
Lavras da Mangabeira,24.93,24.29,céu limpo,31,24.93,24.93,2.37,2025-08-18 19:54:51
Limoeiro do Norte,24.04,24.48,céu limpo,76,24.04,24.04,3.18,2025-08-18 19:54:52
Madalena,17.09,17.1,algumas nuvens,86,17.09,17.32,0.7,2025-08-18 19:54:52
Maracanaú,25.81,26.35,algumas nuvens,73,25.81,26.53,4.12,2025-08-18 19:54:53
Maranguape,25.66,26.37,céu limpo,80,25.66,26.38,2.01,2025-08-18 19:54:53
Marco,33.01,40.01,nuvens dispersas,62,33.01,33.01,4.63,2025-08-18 19:54:54
Martinópole,23.7,23.85,céu limpo,66,23.7,23.7,2.95,2025-08-18 19:54:54
Massapê,24.31,24.39,céu limpo,61,24.31,24.31,2.36,2025-08-18 19:50:04
Mauriti,24.67,24.16,céu limpo,37,24.67,24.67,4.01,2025-08-18 19:50:04
